bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
hr388,115,hr388-115,hr,https://api.propublica.org/congress/v1/115/bills/hr388.json,Veterans Health Equity Act of 2017,Rep.,S001170,Carol Shea-Porter,NH,D,https://www.congress.gov/bill/115th-congress/house-bill/388,https://www.govtrack.us/congress/bills/115/hr388,2017-01-10,False,,,,,1,1,,House Veterans' Affairs Committee,['HSVR'],Armed Forces and National Security
hr389,115,hr389-115,hr,https://api.propublica.org/congress/v1/115/bills/hr389.json,Credit Union Residential Loan Parity Act,Rep.,R000487,Edward Royce,CA,R,https://www.congress.gov/bill/115th-congress/house-bill/389,https://www.govtrack.us/congress/bills/115/hr389,2017-01-10,False,,,,,55,43,12,House Financial Services Committee,['HSBA'],Finance and Financial Sector
hr390,115,hr390-115,hr,https://api.propublica.org/congress/v1/115/bills/hr390.json,Iraq and Syria Genocide Relief and Accountability Act of 2018,Rep.,S000522,Christopher H. Smith,NJ,R,https://www.congress.gov/bill/115th-congress/house-bill/390,https://www.govtrack.us/congress/bills/115/hr390,2017-01-10,True,2018-11-27,2018-10-11,2018-12-11,,47,7,40,Senate Foreign Relations Committee,"['SSFR', 'HSFA', 'HSJU']",International Affairs
hr391,115,hr391-115,hr,https://api.propublica.org/congress/v1/115/bills/hr391.json,Asylum Reform and Border Protection Act of 2017,Rep.,C001076,Jason Chaffetz,UT,R,https://www.congress.gov/bill/115th-congress/house-bill/391,https://www.govtrack.us/congress/bills/115/hr391,2017-01-10,True,,,,,26,,26,House Judiciary Committee,"['HSJU', 'HSFA']",Immigration
hr392,115,hr392-115,hr,https://api.propublica.org/congress/v1/115/bills/hr392.json,Fairness for High-Skilled Immigrants Act of 2017,Rep.,C001076,Jason Chaffetz,UT,R,https://www.congress.gov/bill/115th-congress/house-bill/392,https://www.govtrack.us/congress/bills/115/hr392,2017-01-10,True,,,,,329,176,153,House Judiciary Committee,['HSJU'],Immigration
hr393,115,hr393-115,hr,https://api.propublica.org/congress/v1/115/bills/hr393.json,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,Rep.,T000238,William M. Thornberry,TX,R,https://www.congress.gov/bill/115th-congress/house-bill/393,https://www.govtrack.us/congress/bills/115/hr393,2017-01-10,True,,,,,0,,,House Armed Services Committee,['HSAS'],Armed Forces and National Security
hr394,115,hr394-115,hr,https://api.propublica.org/congress/v1/115/bills/hr394.json,Restoring Access to Medication Act of 2017,Rep.,J000290,Lynn Jenkins,KS,R,https://www.congress.gov/bill/115th-congress/house-bill/394,https://www.govtrack.us/congress/bills/115/hr394,2017-01-10,False,,,,,24,8,16,House Ways and Means Committee,['HSWM'],Taxation
hr395,115,hr395-115,hr,https://api.propublica.org/congress/v1/115/bills/hr395.json,One Subject at a Time Act,Rep.,L000584,Mia Love,UT,R,https://www.congress.gov/bill/115th-congress/house-bill/395,https://www.govtrack.us/congress/bills/115/hr395,2017-01-10,False,,,,,27,,27,House Judiciary Committee,['HSJU'],Congress
hr396,115,hr396-115,hr,https://api.propublica.org/congress/v1/115/bills/hr396.json,Tax Accountability Act of 2017,Rep.,C001076,Jason Chaffetz,UT,R,https://www.congress.gov/bill/115th-congress/house-bill/396,https://www.govtrack.us/congress/bills/115/hr396,2017-01-10,False,,,,,0,,,House Oversight and Reform Committee,['HSGO'],Government Operations and Politics
hr397,115,hr397-115,hr,https://api.propublica.org/congress/v1/115/bills/hr397.json,Members of Congress Tax Accountability Act of 2017,Rep.,C001076,Jason Chaffetz,UT,R,https://www.congress.gov/bill/115th-congress/house-bill/397,https://www.govtrack.us/congress/bills/115/hr397,2017-01-10,True,,,,,1,,1,House Rules Committee,"['HSRU', 'HSHA']",Congress
hr398,115,hr398-115,hr,https://api.propublica.org/congress/v1/115/bills/hr398.json,HEART Act of 2017,Rep.,K000386,John Katko,NY,R,https://www.congress.gov/bill/115th-congress/house-bill/398,https://www.govtrack.us/congress/bills/115/hr398,2017-01-10,False,,,,,83,48,35,House Judiciary Committee,['HSJU'],Crime and Law Enforcement
