bill_slug,congress,bill_id,bill_type,bill_uri,short_title,sponsor_title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,congressdotgov_url,govtrack_url,introduced_date,active,house_passage,senate_passage,enacted,vetoed,cosponsors,cosponsors_by_party_D,cosponsors_by_party_R,committees,committee_codes,primary_subject
s1060,114,s1060-114,s,https://api.propublica.org/congress/v1/114/bills/s1060.json,Pell Grant Protection Act,Sen.,H001042,Mazie K. Hirono,HI,D,https://www.congress.gov/bill/114th-congress/senate-bill/1060,https://www.govtrack.us/congress/bills/114/s1060,2015-04-22,False,,,,,4,3,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Education
s1061,114,s1061-114,s,https://api.propublica.org/congress/v1/114/bills/s1061.json,Pell Grant Cost of Tuition Adjustment Act,Sen.,H001042,Mazie K. Hirono,HI,D,https://www.congress.gov/bill/114th-congress/senate-bill/1061,https://www.govtrack.us/congress/bills/114/s1061,2015-04-22,False,,,,,7,7,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Education
s1062,114,s1062-114,s,https://api.propublica.org/congress/v1/114/bills/s1062.json,Year-Round Pell Grant Restoration Act,Sen.,H001042,Mazie K. Hirono,HI,D,https://www.congress.gov/bill/114th-congress/senate-bill/1062,https://www.govtrack.us/congress/bills/114/s1062,2015-04-22,False,,,,,12,11,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Education
s1063,114,s1063-114,s,https://api.propublica.org/congress/v1/114/bills/s1063.json,American Energy Efficiency Act,Sen.,F000457,Al Franken,MN,D,https://www.congress.gov/bill/114th-congress/senate-bill/1063,https://www.govtrack.us/congress/bills/114/s1063,2015-04-22,False,,,,,0,,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1064,114,s1064-114,s,https://api.propublica.org/congress/v1/114/bills/s1064.json,Family Asthma Act,Sen.,G000555,Kirsten E. Gillibrand,NY,D,https://www.congress.gov/bill/114th-congress/senate-bill/1064,https://www.govtrack.us/congress/bills/114/s1064,2015-04-23,False,,,,,0,,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Health
s1065,114,s1065-114,s,https://api.propublica.org/congress/v1/114/bills/s1065.json,School Asthma Management Plan Act,Sen.,G000555,Kirsten E. Gillibrand,NY,D,https://www.congress.gov/bill/114th-congress/senate-bill/1065,https://www.govtrack.us/congress/bills/114/s1065,2015-04-23,False,,,,,3,3,,"Senate Health, Education, Labor, and Pensions Committee",['SSHR'],Education
s1066,114,s1066-114,s,https://api.propublica.org/congress/v1/114/bills/s1066.json,Medicare Safe Needle Disposal Coverage Act of 2015,Sen.,I000055,Johnny Isakson,GA,R,https://www.congress.gov/bill/114th-congress/senate-bill/1066,https://www.govtrack.us/congress/bills/114/s1066,2015-04-23,False,,,,,1,1,,Senate Finance Committee,['SSFI'],Health
s1067,114,s1067-114,s,https://api.propublica.org/congress/v1/114/bills/s1067.json,Regulatory Review and Sunset Act of 2015,Sen.,B000575,Roy Blunt,MO,R,https://www.congress.gov/bill/114th-congress/senate-bill/1067,https://www.govtrack.us/congress/bills/114/s1067,2015-04-23,False,,,,,3,,3,Senate Homeland Security and Governmental Affairs Committee,['SSGA'],Government Operations and Politics
s1068,114,s1068-114,s,https://api.propublica.org/congress/v1/114/bills/s1068.json,A bill to amend the Federal Power Act to protect the bulk-power system from cyber security threats.,Sen.,R000584,Jim Risch,ID,R,https://www.congress.gov/bill/114th-congress/senate-bill/1068,https://www.govtrack.us/congress/bills/114/s1068,2015-04-23,False,,,,,1,1,,Senate Energy and Natural Resources Committee,['SSEG'],Energy
s1069,114,s1069-114,s,https://api.propublica.org/congress/v1/114/bills/s1069.json,Complete America's Great Trails Act,Sen.,B001277,Richard Blumenthal,CT,D,https://www.congress.gov/bill/114th-congress/senate-bill/1069,https://www.govtrack.us/congress/bills/114/s1069,2015-04-23,False,,,,,3,3,,Senate Finance Committee,['SSFI'],Taxation
s1070,114,s1070-114,s,https://api.propublica.org/congress/v1/114/bills/s1070.json,GI Education Benefit Fairness Act of 2015,Sen.,D000563,Richard J. Durbin,IL,D,https://www.congress.gov/bill/114th-congress/senate-bill/1070,https://www.govtrack.us/congress/bills/114/s1070,2015-04-23,False,,,,,0,,,Senate Veterans' Affairs Committee,['SSVA'],Armed Forces and National Security
s1071,114,s1071-114,s,https://api.propublica.org/congress/v1/114/bills/s1071.json,Fairness for Victims of Crime Act of 2015,Sen.,T000461,Patrick J. Toomey,PA,R,https://www.congress.gov/bill/114th-congress/senate-bill/1071,https://www.govtrack.us/congress/bills/114/s1071,2015-04-23,False,,,,,5,,5,Senate Judiciary Committee,['SSJU'],Crime and Law Enforcement
s1072,114,s1072-114,s,https://api.propublica.org/congress/v1/114/bills/s1072.json,Supreme Court Ethics Act of 2015,Sen.,M001169,Christopher S. Murphy,CT,D,https://www.congress.gov/bill/114th-congress/senate-bill/1072,https://www.govtrack.us/congress/bills/114/s1072,2015-04-23,False,,,,,7,7,,Senate Judiciary Committee,['SSJU'],Law
s1073,114,s1073-114,s,https://api.propublica.org/congress/v1/114/bills/s1073.json,Stopping Improper Payments to Deceased People Act,Sen.,C000174,Thomas R. Carper,DE,D,https://www.congress.gov/bill/114th-congress/senate-bill/1073,https://www.govtrack.us/congress/bills/114/s1073,2015-04-23,True,,,,,7,4,3,Senate Homeland Security and Governmental Affairs Committee,['SSGA'],Social Welfare
